Date,USD,CRUDE,GOLD
27-Mar-17,64.99499961,3106.327662,2888.053279
28-Mar-17,65.04499943,3154.27885,2883.789068
29-Mar-17,64.87500079,3184.30553,2869.671021
30-Mar-17,64.86000001,3246.229996,2867.103996
31-Mar-17,64.86000001,3267.954846,2858.220815
03-Apr-17,64.98500211,3288.420182,2877.813782
04-Apr-17,65.07999894,3312.262289,2905.414239
05-Apr-17,64.87500079,3346.54703,2887.261115
06-Apr-17,64.60599806,3333.358912,2881.537127
07-Apr-17,64.26999981,3363.390684,2885.902941
10-Apr-17,64.6050005,3407.398225,2871.022199
11-Apr-17,64.55499947,3428.392682,2897.450533
12-Apr-17,64.68999906,3458.863806,2923.762883
13-Apr-17,64.44499839,3424.426063,2935.323091
17-Apr-17,64.47999943,3409.573558,2943.028848
18-Apr-17,64.6050005,3393.026819,2937.694439
19-Apr-17,64.66500038,3373.272182,2931.511106
20-Apr-17,64.62000047,3309.283767,2926.012839
21-Apr-17,64.65000041,3255.774644,2932.912558
24-Apr-17,64.49000018,3211.87033,2907.619125
25-Apr-17,64.32999952,3176.887791,2891.360038
26-Apr-17,64.13000023,3189.518425,2872.721214
27-Apr-17,64.11500077,3142.274224,2877.275565
28-Apr-17,64.2899983,3181.486954,2885.045367
01-May-17,64.25500085,3150.152758,2875.83579
02-May-17,64.16500158,3133.194084,2860.084659
03-May-17,64.16500158,3074.74288,2852.220739
04-May-17,64.21499798,3004.703634,2815.901962
05-May-17,64.3150015,2937.087142,2816.322277
08-May-17,64.35999998,2982.448749,2812.820837
09-May-17,64.67999894,2993.860934,2807.584972
10-May-17,64.61499832,3033.345759,2806.859966
11-May-17,64.40499924,3091.192602,2800.01456
12-May-17,64.24300095,3072.344123,2804.96254
15-May-17,64.06499984,3152.06737,2806.844209
16-May-17,64.0450016,3142.739087,2809.572776
17-May-17,64.13000023,3141.467067,2841.231958
18-May-17,64.88000119,3170.682817,2881.371072
19-May-17,64.56499849,3255.832851,2865.970045
22-May-17,64.5099985,3310.672668,2870.35469
23-May-17,64.89499859,3318.062666,2886.97771
24-May-17,64.76999817,3345.014349,2870.297018
25-May-17,64.55499947,3267.33221,2871.079899
26-May-17,64.5099985,3171.03595,2883.157172
29-May-17,64.5400005,3230.090129,2889.714063
30-May-17,64.63499905,3203.989265,2888.403637
31-May-17,64.5099985,3139.232413,2883.922134
01-Jun-17,64.47799966,3145.859222,2891.870086
02-Jun-17,64.41500164,3062.817494,2896.678379
05-Jun-17,64.3499981,3065.66235,2923.027906
06-Jun-17,64.43000067,3061.711628,2946.870865
07-Jun-17,64.43499913,3030.468227,2947.722148
08-Jun-17,64.25000138,2948.068676,2922.780148
09-Jun-17,64.24499856,2947.335139,2901.064981
12-Jun-17,64.47999943,2986.295484,2898.87002
13-Jun-17,64.34500039,2974.289412,2890.064824
14-Jun-17,64.23499938,2925.658928,2898.626341
15-Jun-17,64.56499849,2878.991507,2879.26383
16-Jun-17,64.46500205,2886.266919,2873.860514
19-Jun-17,64.49499964,2887.674797,2859.430401
20-Jun-17,64.5400005,2831.443107,2853.734683
21-Jun-17,64.5300009,2808.207121,2856.79188
22-Jun-17,64.6050005,2775.535006,2868.543268
23-Jun-17,64.50500088,2778.660865,2874.521392
26-Jun-17,64.43499913,2789.667833,2845.014965
27-Jun-17,64.47499814,2844.526288,2857.379611
28-Jun-17,64.52500018,2872.217217,2864.22978
29-Jun-17,64.65999962,2923.783943,2853.930147
30-Jun-17,64.62000047,2944.113363,2848.337425
03-Jul-17,64.84500196,3017.284629,2825.936445
04-Jul-17,64.78999845,3055.606887,2813.913112
05-Jul-17,64.79999902,2997.862049,2810.575634
06-Jul-17,64.72499869,2977.477065,2813.453937
07-Jul-17,64.62499922,2876.34003,2793.218067
10-Jul-17,64.47499814,2858.254766,2770.604989
11-Jul-17,64.56499849,2877.274932,2775.64978
12-Jul-17,64.47499814,2955.91295,2789.781588
13-Jul-17,64.45999893,2941.695527,2788.272526
14-Jul-17,64.42399856,2983.932444,2792.180777
17-Jul-17,64.34500039,2994.242485,2808.468093
18-Jul-17,64.31599839,2983.188789,2821.447515
19-Jul-17,64.26999981,3012.614831,2822.299553
20-Jul-17,64.37499827,3056.741491,2824.571513
21-Jul-17,64.38499963,3000.454616,2842.459523
24-Jul-17,64.39499996,2975.170046,2855.975987
25-Jul-17,64.38499963,3050.099838,2849.60362
26-Jul-17,64.35500072,3125.655532,2836.710437
27-Jul-17,64.12499963,3136.781217,2854.907872
28-Jul-17,64.11500077,3173.387956,2860.043759
01-Aug-17,64.09500007,3178.980223,2870.989228
02-Aug-17,63.63500185,3132.143755,2858.841826
03-Aug-17,63.70499998,3161.161286,2847.737188
04-Aug-17,63.67499873,3126.537954,2849.481822
07-Aug-17,63.84000163,3134.395701,2841.159307
08-Aug-17,63.69199976,3147.433048,2843.000958
09-Aug-17,63.85999845,3153.933694,2871.434396
10-Aug-17,64.09500007,3176.760897,2906.385329
11-Aug-17,64.13999966,3105.004286,2920.611927
14-Aug-17,64.09000082,3112.745012,2908.743975
16-Aug-17,64.17000019,3054.59965,2888.862568
17-Aug-17,64.17000019,3004.958626,2915.562397
18-Aug-17,64.09500007,3051.866899,2927.53759
21-Aug-17,64.1099984,3090.009343,2918.480989
22-Aug-17,64.07199847,3073.78527,2912.955076
23-Aug-17,64.0450016,3082.31977,2914.483233
24-Aug-17,64.0450016,3072.559715,2910.852239
25-Aug-17,64.00500161,3058.360521,2909.751158
28-Aug-17,63.90499934,3008.790228,2932.577119
29-Aug-17,64.01499897,2976.861974,2979.293907
30-Aug-17,63.98999913,2966.626566,2955.231203
31-Aug-17,63.93500112,2997.636519,2957.442404
01-Sep-17,64.02499946,3010.646327,2977.98081
04-Sep-17,64.04000195,3043.163318,3013.85469
05-Sep-17,64.10500091,3101.196371,3012.883088
06-Sep-17,64.06000116,3149.898741,3019.816033
07-Sep-17,64.01499897,3140.71821,3020.18997
08-Sep-17,63.78500066,3107.871588,3035.850357
11-Sep-17,63.93500112,3052.53014,3001.894195
12-Sep-17,64.03100125,3085.85059,2988.857539
